predictor,outcome,rho,p_value,n
VARITY_R_rankscore,Aβ43 [%],0.2596756226348121,0.12615551881305118,36
VARITY_ER_rankscore,Aβ43 [%],0.30547037973136365,0.0700296153340615,36
VARITY_R_LOO_rankscore,Aβ43 [%],0.24084172253313174,0.1570747017224921,36
VARITY_ER_LOO_rankscore,Aβ43 [%],0.2946344372071092,0.08109387809568765,36
ESM1b_converted_rankscore,Aβ43 [%],0.5236082226898671,0.0010484530950332072,36
AlphaMissense_rankscore,Aβ43 [%],0.38034787996366326,0.02211951375643248,36
PHACTboost_rankscore,Aβ43 [%],0.5458663625939262,0.0005741019151402383,36
MutFormer_rankscore,Aβ43 [%],0.32867637976956493,0.05032147333952906,36
MutScore_rankscore,Aβ43 [%],0.16785039524371345,0.32781452353281937,36
CADD_raw_rankscore,Aβ43 [%],0.12551633423928077,0.4657496294529838,36
DANN_rankscore,Aβ43 [%],0.12590333218657557,0.4643644433959435,36
fathmm-XF_coding_rankscore,Aβ43 [%],-0.0015480914121666766,0.9928504667777608,36
Eigen-raw_coding_rankscore,Aβ43 [%],0.34316026303027997,0.04046368610662224,36
Eigen-PC-raw_coding_rankscore,Aβ43 [%],0.32286234280106363,0.05478259343183619,36
